BO7-KZ2, 53° 5' 1.20", 5° 20' 17.64"
BS3-IN2, 53° 14' 52.08", 5° 9' 42.12"
D7-J2, 53° 1' 59.27", 5° 8' 14.95"
DEN HELDER, 52° 58' 1.14", 4° 46' 25.86"
EA1, 52° 34' 46.68", 5° 13' 25.98"
EA2, 52° 30' 39.24", 5° 12' 59.94"
EG, 53° 13' 21.48", 4° 47' 5.28"
EL-A, 52° 45' 6.48", 5° 26' 41.64"
EL-B, 52° 45' 40.68", 5° 31' 7.68"
ENK-N, 52° 42' 17.99", 5° 18' 21.43"
ENK-Z, 52° 41' 7.20", 5° 16' 44.76"
EZ-C, 52° 42' 34.62", 5° 26' 11.82"
EZ-D, 52° 40' 45.00", 5° 29' 54.54"
FINISH, 52° 47' 13.80", 5° 7' 25.20"
GVS3-M8, 52° 59' 15.60", 4° 51' 33.96"
H2-W1, 52° 57' 30.18", 5° 23' 28.38"
HIND, 52° 57' 19.80", 5° 23' 39.36"
HOEK-Y, 52° 25' 11.04", 5° 8' 40.56"
HOORN, 52° 37' 58.85", 5° 3' 53.60"
KG, 52° 43' 8.05", 5° 20' 0.36"
KG10, 52° 40' 39.36", 5° 16' 2.34"
KG18, 52° 38' 53.46", 5° 13' 55.62"
KR-A, 52° 49' 32.58", 5° 13' 32.28"
LC1, 52° 51' 20.52", 5° 18' 21.78"
LC11, 52° 48' 37.15", 5° 18' 11.88"
LELY-N, 52° 32' 21.90", 5° 26' 15.24"
LELY-Z, 52° 31' 10.02", 5° 25' 32.21"
LEMMER, 52° 50' 13.56", 5° 42' 11.88"
MED, 52° 46' 48.00", 5° 7' 24.00"
MH4-M1, 52° 58' 8.10", 4° 47' 29.22"
MN1-GZ2, 52° 29' 49.26", 5° 6' 7.80"
MR, 52° 56' 46.26", 4° 33' 48.18"
NH, 53° 0' 13.74", 4° 35' 21.90"
OEVE, 52° 55' 29.89", 5° 3' 3.73"
P9-BO46, 53° 10' 38.22", 5° 23' 48.36"
SB18, 52° 49' 14.10", 5° 25' 38.04"
SB28, 52° 49' 12.65", 5° 30' 8.28"
SB40, 52° 49' 10.44", 5° 35' 31.74"
SB8, 52° 49' 15.78", 5° 21' 16.68"
SG, 52° 52' 54.24", 4° 37' 54.18"
SM7-ZS16, 53° 19' 23.40", 5° 7' 42.02"
SPORT-A, 52° 58' 0.00", 5° 10' 0.00"
SPORT-B, 52° 57' 0.00", 5° 14' 30.00"
SPORT-C, 52° 48' 0.00", 5° 9' 0.00"
SPORT-D, 52° 45' 29.99", 5° 18' 0.00"
SPORT-E, 52° 37' 0.00", 5° 30' 0.00"
SPORT-F, 52° 36' 0.00", 5° 28' 0.00"
SPORT-G, 52° 36' 18.00", 5° 9' 48.00"
SPORT-H, 52° 32' 6.00", 5° 9' 48.00"
SPORT-I, 52° 31' 59.99", 5° 21' 21.60"
SPORT-J, 52° 28' 0.00", 5° 13' 59.99"
SPORT-M, 52° 36' 19.82", 5° 19' 9.00"
STAV, 52° 52' 32.73", 5° 21' 29.13"
T1, 52° 57' 59.40", 4° 44' 37.32"
T11-GVS2, 52° 59' 53.82", 4° 49' 6.06"
T3, 52° 58' 4.08", 4° 46' 24.96"
VF7, 53° 2' 11.94", 5° 20' 56.22"
VF-A, 52° 56' 33.42", 5° 19' 0.01"
VF-B, 52° 54' 18.36", 5° 18' 49.80"
VOLE, 52° 29' 28.80", 5° 5' 27.00"
WV12, 52° 53' 43.56", 5° 6' 27.48"
WV19, 52° 52' 2.10", 5° 8' 55.92"
ZH, 52° 54' 38.88", 4° 34' 42.72"
ZS, 53° 18' 16.68", 4° 56' 13.86"
